??,?,?,?,?,?,?
7/31/2006,19.89 ,21.00 ,18.58 ,20.21 ,936172,1846673024
8/1/2006,19.81 ,21.44 ,19.21 ,20.52 ,258658,528772992
8/2/2006,20.30 ,21.90 ,20.20 ,21.37 ,214499,456344992
8/3/2006,21.40 ,21.58 ,20.60 ,21.22 ,116326,245760992
8/4/2006,21.10 ,22.12 ,20.76 ,21.63 ,145763,314332000
8/7/2006,21.77 ,23.15 ,21.45 ,22.73 ,143234,321071008
8/8/2006,22.78 ,23.40 ,22.33 ,22.95 ,96798,220951008
8/9/2006,22.80 ,22.88 ,21.71 ,22.00 ,93287,207184000
8/10/2006,21.88 ,22.30 ,21.58 ,22.28 ,85558,187582000
8/11/2006,22.25 ,23.98 ,22.05 ,23.86 ,121812,282284000
8/14/2006,24.08 ,24.47 ,23.34 ,23.79 ,112827,269495008
8/15/2006,23.38 ,24.58 ,22.98 ,24.48 ,115754,273769984
8/16/2006,24.50 ,24.68 ,23.90 ,24.10 ,76422,185399008
8/17/2006,23.90 ,24.60 ,23.71 ,23.80 ,64623,155574000
8/18/2006,23.80 ,24.09 ,23.50 ,23.61 ,47657,113198000
8/21/2006,22.66 ,23.80 ,22.66 ,23.48 ,56877,132309000
8/22/2006,23.45 ,24.05 ,23.31 ,23.54 ,37761,89607000
8/23/2006,23.45 ,23.80 ,23.00 ,23.31 ,47161,110003000
8/24/2006,23.31 ,24.31 ,23.22 ,24.25 ,63778,153027008
8/25/2006,24.27 ,24.42 ,23.92 ,24.00 ,37863,91328000
8/28/2006,24.10 ,26.40 ,23.91 ,26.40 ,96113,245851008
8/29/2006,27.17 ,27.68 ,26.31 ,26.73 ,109932,296459008
8/30/2006,26.50 ,29.40 ,26.31 ,28.92 ,101220,284169984
8/31/2006,28.70 ,29.29 ,28.48 ,29.02 ,68684,197908000
9/1/2006,28.95 ,30.99 ,28.83 ,29.03 ,87259,260194000
9/4/2006,29.06 ,29.78 ,28.52 ,29.48 ,69113,200658000
9/5/2006,29.30 ,30.38 ,28.60 ,28.73 ,68019,198559008
9/6/2006,28.80 ,28.92 ,27.50 ,28.32 ,69102,193934000
9/7/2006,28.28 ,28.78 ,28.00 ,28.59 ,39869,113504000
9/8/2006,28.68 ,29.79 ,28.50 ,28.68 ,51205,149630000
9/11/2006,28.90 ,29.19 ,27.70 ,28.72 ,46306,131300000
9/12/2006,28.76 ,29.15 ,28.35 ,28.89 ,36260,104334000
9/13/2006,28.98 ,29.13 ,27.92 ,28.01 ,33250,94641000
9/14/2006,27.69 ,28.36 ,27.38 ,28.31 ,48879,135815008
9/15/2006,28.18 ,28.69 ,27.83 ,28.41 ,33656,95266000
9/18/2006,28.40 ,29.17 ,28.37 ,28.68 ,31893,91568000
9/19/2006,28.66 ,28.67 ,28.05 ,28.09 ,38133,107725000
9/20/2006,28.07 ,30.30 ,28.07 ,29.55 ,86434,253955008
9/22/2006,29.82 ,30.10 ,29.04 ,29.54 ,40300,118963000
9/25/2006,29.40 ,29.91 ,28.40 ,28.64 ,40535,118034000
9/26/2006,28.50 ,28.65 ,26.98 ,27.44 ,62579,172464000
9/27/2006,27.50 ,27.68 ,26.96 ,27.42 ,21231,57882000
9/28/2006,27.38 ,28.45 ,27.13 ,27.81 ,41365,115213000
9/29/2006,27.81 ,28.52 ,27.61 ,27.80 ,31362,87822000
10/9/2006,27.92 ,28.18 ,27.25 ,27.90 ,59691,164735008
10/10/2006,27.70 ,27.83 ,25.91 ,26.28 ,111080,295139008
10/11/2006,26.01 ,26.37 ,25.70 ,26.20 ,54067,140700000
10/12/2006,26.10 ,26.10 ,25.20 ,25.33 ,54047,137874000
10/13/2006,25.20 ,25.88 ,25.10 ,25.66 ,26059,66650000
10/16/2006,25.45 ,25.70 ,24.90 ,25.47 ,28254,71311000
10/17/2006,25.36 ,26.45 ,25.26 ,25.87 ,36716,95723000
10/18/2006,25.96 ,27.00 ,25.58 ,26.91 ,47966,127023000
10/19/2006,26.90 ,26.99 ,26.35 ,26.45 ,34113,90670000
10/20/2006,26.35 ,27.05 ,26.25 ,26.97 ,29627,79394000
10/23/2006,26.96 ,26.98 ,26.25 ,26.34 ,25352,67270000
10/24/2006,26.33 ,27.88 ,26.33 ,27.71 ,47349,129492000
10/25/2006,27.66 ,28.12 ,27.35 ,27.50 ,27709,76838000
10/26/2006,27.40 ,28.65 ,27.00 ,28.21 ,58899,165432992
10/27/2006,28.23 ,29.01 ,27.90 ,28.20 ,36691,104911000
10/30/2006,28.00 ,28.39 ,27.00 ,27.52 ,32521,89935000
10/31/2006,26.98 ,28.10 ,26.90 ,27.18 ,62488,171219008
11/1/2006,27.22 ,27.78 ,26.60 ,27.10 ,45551,123238000
11/2/2006,26.98 ,27.12 ,26.53 ,26.96 ,33670,89990000
11/3/2006,26.90 ,28.30 ,26.75 ,27.65 ,36465,101442000
11/6/2006,27.22 ,27.98 ,27.22 ,27.70 ,24183,66613000
11/7/2006,27.55 ,30.47 ,27.42 ,30.47 ,93390,274433984
11/8/2006,30.38 ,30.86 ,29.51 ,30.58 ,58946,177660992
11/9/2006,30.38 ,32.40 ,30.02 ,31.83 ,62196,196788000
11/10/2006,31.60 ,32.00 ,30.60 ,30.90 ,45692,143331008
11/13/2006,30.25 ,32.25 ,29.91 ,30.26 ,46944,144962000
11/14/2006,30.26 ,31.37 ,29.85 ,31.12 ,31295,96038616
11/15/2006,31.10 ,34.18 ,30.80 ,33.70 ,53743,176971040
11/16/2006,33.68 ,35.00 ,33.15 ,33.33 ,58035,198433456
11/17/2006,33.18 ,35.10 ,32.88 ,34.80 ,34261,117206088
11/20/2006,34.75 ,36.28 ,34.18 ,35.00 ,43881,154003904
11/21/2006,34.88 ,34.88 ,33.78 ,34.11 ,39897,136555600
11/22/2006,34.11 ,34.97 ,33.41 ,34.61 ,34650,118939072
11/23/2006,35.00 ,36.01 ,33.70 ,34.05 ,35661,123669640
11/24/2006,34.05 ,34.61 ,33.25 ,33.63 ,30638,103353224
11/27/2006,33.31 ,34.10 ,32.65 ,33.84 ,26433,88086224
11/28/2006,33.62 ,34.93 ,33.60 ,34.40 ,28959,99214872
11/29/2006,34.07 ,35.15 ,33.66 ,34.37 ,29413,101520776
11/30/2006,34.30 ,37.44 ,34.30 ,36.45 ,56352,202521472
12/1/2006,36.45 ,37.70 ,36.19 ,36.97 ,60655,223748208
12/4/2006,36.48 ,37.28 ,36.13 ,36.68 ,55139,202351888
12/5/2006,36.68 ,38.77 ,36.30 ,37.32 ,48844,182976576
12/6/2006,37.20 ,37.45 ,35.51 ,36.22 ,45775,165861040
12/7/2006,35.98 ,36.50 ,35.50 ,35.50 ,45997,165113792
12/8/2006,35.00 ,36.59 ,34.22 ,35.82 ,49296,174670272
12/11/2006,35.76 ,38.00 ,35.60 ,37.60 ,34040,124453384
12/12/2006,37.48 ,38.98 ,37.20 ,38.36 ,29801,113152504
12/13/2006,38.50 ,39.39 ,37.68 ,39.16 ,27838,108336168
12/14/2006,39.10 ,39.86 ,38.51 ,38.58 ,18020,70369296
12/15/2006,38.55 ,42.10 ,38.55 ,41.51 ,32617,134506160
12/18/2006,41.80 ,43.65 ,41.00 ,42.60 ,28303,119727200
12/19/2006,42.69 ,43.50 ,41.59 ,42.47 ,29592,124710440
12/20/2006,42.00 ,45.09 ,41.21 ,44.78 ,22645,98582248
12/21/2006,44.68 ,45.80 ,43.20 ,43.41 ,23665,105671144
12/22/2006,43.00 ,43.90 ,41.80 ,42.10 ,20266,86320432
12/25/2006,42.00 ,45.30 ,42.00 ,44.32 ,27625,121872528
12/26/2006,44.33 ,44.90 ,42.35 ,43.30 ,17529,76325272
12/27/2006,43.00 ,44.40 ,42.50 ,43.81 ,13452,58416564
12/28/2006,43.95 ,45.49 ,41.89 ,42.16 ,42061,180842768
12/29/2006,42.16 ,43.98 ,42.16 ,43.32 ,42783,183810736
1/4/2007,43.76 ,47.65 ,43.30 ,45.05 ,62789,287067808
1/5/2007,44.55 ,47.00 ,44.05 ,45.66 ,23793,108631056
1/8/2007,45.66 ,50.00 ,45.66 ,47.50 ,38098,181868560
1/9/2007,47.68 ,49.28 ,46.89 ,49.19 ,17902,86375688
1/10/2007,49.68 ,50.99 ,48.48 ,50.23 ,19814,98846352
1/11/2007,49.60 ,52.80 ,49.30 ,51.26 ,22749,116519744
1/15/2007,50.38 ,53.80 ,50.02 ,52.55 ,32729,170513296
1/16/2007,53.40 ,57.81 ,53.40 ,57.81 ,22906,127182896
1/17/2007,59.50 ,59.50 ,52.03 ,52.03 ,61213,330277856
1/18/2007,47.75 ,49.80 ,46.83 ,48.43 ,86395,409564256
1/19/2007,48.21 ,49.50 ,44.66 ,47.14 ,73962,348912288
1/22/2007,46.50 ,48.60 ,45.61 ,47.98 ,49928,236672752
1/23/2007,48.28 ,48.28 ,43.18 ,43.35 ,91124,405500064
1/24/2007,43.30 ,47.69 ,43.30 ,46.97 ,84425,388645120
1/25/2007,46.60 ,47.95 ,44.65 ,46.19 ,44208,206372032
1/26/2007,45.00 ,47.70 ,44.50 ,47.18 ,31079,144187840
1/29/2007,47.77 ,47.99 ,44.89 ,45.82 ,55355,254844112
