??,?,?,?,?,?,?
5/17/2019 9:35,69.25 ,76.18 ,69.25 ,76.18 ,8,56786
5/17/2019 9:40,76.18 ,76.18 ,76.18 ,76.18 ,0,0
5/17/2019 9:45,76.18 ,76.18 ,76.18 ,76.18 ,0,0
5/17/2019 9:50,76.18 ,76.18 ,76.18 ,76.18 ,0,0
5/17/2019 9:55,76.18 ,76.18 ,76.18 ,76.18 ,0,0
5/17/2019 10:00,76.18 ,76.18 ,76.18 ,76.18 ,0,0
5/17/2019 10:05,83.10 ,83.10 ,83.10 ,83.10 ,58,484224
5/17/2019 10:10,83.10 ,83.10 ,83.10 ,83.10 ,31,257610
5/17/2019 10:15,83.10 ,83.10 ,83.10 ,83.10 ,15,124650
5/17/2019 10:20,83.10 ,83.10 ,83.10 ,83.10 ,35,290850
5/17/2019 10:25,83.10 ,83.10 ,83.10 ,83.10 ,8,66480
5/17/2019 10:30,83.10 ,83.10 ,83.10 ,83.10 ,1,8310
5/17/2019 10:35,83.10 ,83.10 ,83.10 ,83.10 ,5,41550
5/17/2019 10:40,83.10 ,83.10 ,83.10 ,83.10 ,11,91410
5/17/2019 10:45,83.10 ,83.10 ,83.10 ,83.10 ,10,83100
5/17/2019 10:50,83.10 ,83.10 ,83.10 ,83.10 ,0,0
5/17/2019 10:55,83.10 ,83.10 ,83.10 ,83.10 ,0,0
5/17/2019 11:00,83.10 ,83.10 ,83.10 ,83.10 ,5,41550
5/17/2019 11:05,83.10 ,83.10 ,83.10 ,83.10 ,0,0
5/17/2019 11:10,83.10 ,83.10 ,83.10 ,83.10 ,6,49860
5/17/2019 11:15,83.10 ,83.10 ,83.10 ,83.10 ,5,41550
5/17/2019 11:20,83.10 ,83.10 ,83.10 ,83.10 ,0,0
5/17/2019 11:25,83.10 ,83.10 ,83.10 ,83.10 ,5,41550
5/17/2019 11:30,83.10 ,83.10 ,83.10 ,83.10 ,13,108030
5/17/2019 13:05,83.10 ,83.10 ,83.10 ,83.10 ,9,74790
5/17/2019 13:10,83.10 ,83.10 ,83.10 ,83.10 ,10,83100
5/17/2019 13:15,83.10 ,83.10 ,83.10 ,83.10 ,0,0
5/17/2019 13:20,83.10 ,83.10 ,83.10 ,83.10 ,5,41550
5/17/2019 13:25,83.10 ,83.10 ,83.10 ,83.10 ,0,0
5/17/2019 13:30,83.10 ,83.10 ,83.10 ,83.10 ,0,0
5/17/2019 13:35,83.10 ,83.10 ,83.10 ,83.10 ,5,41550
5/17/2019 13:40,83.10 ,83.10 ,83.10 ,83.10 ,0,0
5/17/2019 13:45,83.10 ,83.10 ,83.10 ,83.10 ,5,41550
5/17/2019 13:50,83.10 ,83.10 ,83.10 ,83.10 ,0,0
5/17/2019 13:55,83.10 ,83.10 ,83.10 ,83.10 ,0,0
5/17/2019 14:00,83.10 ,83.10 ,83.10 ,83.10 ,0,0
5/17/2019 14:05,83.10 ,83.10 ,83.10 ,83.10 ,5,41550
5/17/2019 14:10,83.10 ,83.10 ,83.10 ,83.10 ,5,41550
5/17/2019 14:15,83.10 ,83.10 ,83.10 ,83.10 ,0,0
5/17/2019 14:20,83.10 ,83.10 ,83.10 ,83.10 ,0,0
5/17/2019 14:25,83.10 ,83.10 ,83.10 ,83.10 ,0,0
5/17/2019 14:30,83.10 ,83.10 ,83.10 ,83.10 ,6,49860
5/17/2019 14:35,83.10 ,83.10 ,83.10 ,83.10 ,5,41550
5/17/2019 14:40,83.10 ,83.10 ,83.10 ,83.10 ,2,16620
5/17/2019 14:45,83.10 ,83.10 ,83.10 ,83.10 ,10,83100
5/17/2019 14:50,83.10 ,83.10 ,83.10 ,83.10 ,11,91410
5/17/2019 14:55,83.10 ,83.10 ,83.10 ,83.10 ,0,0
5/17/2019 15:00,83.10 ,83.10 ,83.10 ,83.10 ,0,0
5/20/2019 9:35,91.41 ,91.41 ,91.41 ,91.41 ,96,877536
5/20/2019 9:40,91.41 ,91.41 ,91.41 ,91.41 ,7,63987
