time,open,close,low,high,volumn,value
9/21/2018 9:35,44.99,45.16,44.99,45.16,604,2722122
9/21/2018 9:40,45.21,45.54,45.21,45.52,2355,10697114
9/21/2018 9:45,45.54,45.54,45.41,45.41,1597,7257382
9/21/2018 9:50,45.41,45.44,45.38,45.38,1247,5657412
9/21/2018 9:55,45.39,45.44,45.36,45.4,1028,4670545
9/21/2018 10:00,45.4,45.44,45.39,45.39,669,3037997
9/21/2018 10:05,45.39,45.4,45.37,45.4,1053,4775673
9/21/2018 10:10,45.38,45.41,45.34,45.34,852,3868433
9/21/2018 10:15,45.34,45.34,45.18,45.2,488,2208322
9/21/2018 10:20,45.2,45.3,45.2,45.26,274,1240521
9/21/2018 10:25,45.28,45.28,45.08,45.1,488,2203603
9/21/2018 10:30,45.12,45.17,45.07,45.07,964,4347546
9/21/2018 10:35,45.06,45.11,45.06,45.11,296,1334325
9/21/2018 10:40,45.11,45.2,45.11,45.19,227,1025532
9/21/2018 10:45,45.18,45.21,45.16,45.17,234,1057574
9/21/2018 10:50,45.17,45.18,45.11,45.12,102,460378
9/21/2018 10:55,45.12,45.24,45.12,45.19,289,1306545
9/21/2018 11:00,45.24,45.26,45.24,45.26,141,637988
9/21/2018 11:05,45.26,45.34,45.25,45.25,297,1345118
9/21/2018 11:10,45.25,45.3,45.25,45.25,108,489051
9/21/2018 11:15,45.25,45.3,45.2,45.3,225,1019595
9/21/2018 11:20,45.3,45.37,45.29,45.35,333,1509468
9/21/2018 11:25,45.34,45.37,45.26,45.37,785,3557742
9/21/2018 11:30,45.37,45.38,45.29,45.29,510,2313478
9/21/2018 13:05,45.3,45.43,45.3,45.4,673,3053786
9/21/2018 13:10,45.39,45.45,45.39,45.45,900,4088329
9/21/2018 13:15,45.46,45.59,45.46,45.55,2008,9139051
9/21/2018 13:20,45.54,45.63,45.52,45.55,1315,5992505
9/21/2018 13:25,45.55,45.59,45.52,45.55,1167,5320052
9/21/2018 13:30,45.55,45.67,45.48,45.65,1661,7571100
9/21/2018 13:35,45.62,45.7,45.6,45.65,1552,7086077
9/21/2018 13:40,45.64,45.69,45.64,45.68,1324,6045804
9/21/2018 13:45,45.69,45.69,45.53,45.53,916,4180095
9/21/2018 13:50,45.53,45.58,45.52,45.57,440,2004462
9/21/2018 13:55,45.57,45.57,45.54,45.55,160,728807
9/21/2018 14:00,45.55,45.7,45.55,45.68,1097,5007590
9/21/2018 14:05,45.66,45.67,45.64,45.65,402,1836086
9/21/2018 14:10,45.65,45.66,45.58,45.6,307,1400474
9/21/2018 14:15,45.63,45.7,45.6,45.69,1061,4847052
9/21/2018 14:20,45.7,45.89,45.7,45.89,1222,5595267
9/21/2018 14:25,45.89,45.89,45.83,45.86,665,3050299
9/21/2018 14:30,45.87,45.88,45.83,45.86,485,2225326
9/21/2018 14:35,45.86,46,45.85,46,2360,10838969
9/21/2018 14:40,45.98,46.1,45.98,46.04,1478,6804720
9/21/2018 14:45,46.04,46.05,45.99,46.03,765,3521230
9/21/2018 14:50,46.03,46.09,46,46.09,1143,5265757
9/21/2018 14:55,46.09,46.2,46.09,46.2,1635,7548788
9/21/2018 15:00,46.19,46.19,46.16,46.18,692,3195699
9/25/2018 9:35,45.8,45.98,45.66,45.97,1441,6600842
9/25/2018 9:40,45.99,46.09,45.88,45.96,1292,5940105
9/25/2018 9:45,46,46.08,45.81,45.85,1627,7472822
9/25/2018 9:50,45.85,46.18,45.85,46.13,886,4077654
9/25/2018 9:55,46.12,46.12,46,46,838,3859580
9/25/2018 10:00,45.98,46.02,45.95,45.99,527,2424899
9/25/2018 10:05,45.98,46.15,45.98,46.11,421,1940013
9/25/2018 10:10,46.09,46.25,46.08,46.24,538,2482053
9/25/2018 10:15,46.24,46.48,46.2,46.48,977,4526290
9/25/2018 10:20,46.48,46.48,46.35,46.37,399,1851484
9/25/2018 10:25,46.39,46.42,46.34,46.35,454,2105707
9/25/2018 10:30,46.4,46.41,46.3,46.3,357,1655248
9/25/2018 10:35,46.3,46.35,46.18,46.22,274,1267669
9/25/2018 10:40,46.19,46.25,46.19,46.24,273,1261405
9/25/2018 10:45,46.25,46.29,46.22,46.22,301,1392251
9/25/2018 10:50,46.22,46.24,46.1,46.1,447,2063711
9/25/2018 10:55,46.1,46.1,46,46.03,816,3754843
9/25/2018 11:00,46.04,46.08,46.02,46.07,151,695219
9/25/2018 11:05,46.07,46.13,46.06,46.1,168,774484
9/25/2018 11:10,46.1,46.11,46.06,46.07,195,898937
9/25/2018 11:15,46.07,46.11,46.06,46.1,31,142821
9/25/2018 11:20,46.1,46.12,46.07,46.1,333,1535321
9/25/2018 11:25,46.11,46.16,46.1,46.1,292,1347305
9/25/2018 11:30,46.06,46.09,46.06,46.06,231,1064243
9/25/2018 13:05,46.09,46.09,46.05,46.09,224,1033720
9/25/2018 13:10,46.08,46.2,46.08,46.2,157,724326
9/25/2018 13:15,46.2,46.2,46.12,46.2,156,720276
