??,?,?,?,?,?,?
9/21/2018 9:35,114.90 ,114.90 ,114.04 ,114.14 ,63,721454
9/21/2018 9:40,114.13 ,114.34 ,114.04 ,114.04 ,36,411105
9/21/2018 9:45,114.01 ,114.01 ,113.43 ,113.48 ,28,318306
9/21/2018 9:50,113.49 ,113.51 ,113.49 ,113.51 ,14,158901
9/21/2018 9:55,113.51 ,113.96 ,113.40 ,113.96 ,59,670710
9/21/2018 10:00,114.00 ,114.33 ,113.57 ,113.57 ,29,330335
9/21/2018 10:05,113.94 ,113.96 ,113.77 ,113.93 ,11,125327
9/21/2018 10:10,113.93 ,113.96 ,113.58 ,113.58 ,31,352606
9/21/2018 10:15,113.60 ,113.81 ,113.60 ,113.80 ,14,159271
9/21/2018 10:20,113.60 ,113.60 ,113.44 ,113.44 ,18,204444
9/21/2018 10:25,113.44 ,113.44 ,112.80 ,112.80 ,89,1007549
9/21/2018 10:30,113.00 ,113.70 ,112.70 ,112.70 ,75,847635
9/21/2018 10:35,112.70 ,113.47 ,112.70 ,113.47 ,8,90287
9/21/2018 10:40,113.45 ,113.45 ,113.40 ,113.40 ,19,215545
9/21/2018 10:45,113.41 ,113.55 ,113.41 ,113.44 ,24,272370
9/21/2018 10:50,113.40 ,113.40 ,113.38 ,113.38 ,14,158736
9/21/2018 10:55,113.38 ,113.40 ,113.21 ,113.21 ,7,79338
9/21/2018 11:00,113.38 ,113.55 ,113.38 ,113.55 ,24,272321
9/21/2018 11:05,113.55 ,113.79 ,113.55 ,113.77 ,43,488739
9/21/2018 11:10,113.55 ,113.55 ,113.54 ,113.54 ,6,68126
9/21/2018 11:15,113.54 ,113.54 ,113.53 ,113.54 ,11,124892
9/21/2018 11:20,113.70 ,113.77 ,113.69 ,113.69 ,11,125080
9/21/2018 11:25,113.77 ,113.82 ,113.65 ,113.82 ,43,489235
9/21/2018 11:30,113.82 ,113.88 ,113.71 ,113.71 ,39,443948
9/21/2018 13:05,113.85 ,113.88 ,113.85 ,113.88 ,9,102489
9/21/2018 13:10,113.88 ,113.89 ,113.88 ,113.89 ,18,204999
9/21/2018 13:15,113.89 ,114.30 ,113.86 ,114.30 ,53,604004
9/21/2018 13:20,114.10 ,114.10 ,113.80 ,113.80 ,41,467361
9/21/2018 13:25,113.73 ,113.73 ,113.31 ,113.31 ,97,1100685
9/21/2018 13:30,113.31 ,113.99 ,113.28 ,113.57 ,83,942285
9/21/2018 13:35,114.00 ,114.00 ,113.76 ,113.99 ,26,296201
9/21/2018 13:40,113.80 ,114.30 ,113.80 ,114.27 ,32,365035
9/21/2018 13:45,114.27 ,114.27 ,114.00 ,114.00 ,53,604711
9/21/2018 13:50,114.15 ,114.15 ,114.00 ,114.05 ,7,79845
9/21/2018 13:55,114.01 ,114.12 ,113.87 ,114.12 ,28,319215
9/21/2018 14:00,114.08 ,114.15 ,114.08 ,114.15 ,22,251026
9/21/2018 14:05,114.13 ,114.25 ,114.04 ,114.25 ,28,319595
9/21/2018 14:10,114.14 ,114.14 ,114.01 ,114.01 ,20,228166
9/21/2018 14:15,114.00 ,114.33 ,114.00 ,114.33 ,76,867952
9/21/2018 14:20,114.33 ,114.50 ,114.26 ,114.33 ,82,937616
9/21/2018 14:25,114.27 ,114.40 ,114.24 ,114.38 ,46,520834
