??,?,?,?,?,?,?
5/11/2018 9:35,7.29 ,7.29 ,7.25 ,7.28 ,54867,39911032
5/11/2018 9:40,7.27 ,7.28 ,7.26 ,7.28 ,23113,16809232
5/11/2018 9:45,7.26 ,7.28 ,7.26 ,7.26 ,29488,21427052
5/11/2018 9:50,7.26 ,7.27 ,7.25 ,7.26 ,24406,17722020
5/11/2018 9:55,7.26 ,7.27 ,7.26 ,7.26 ,13603,9880790
5/11/2018 10:00,7.26 ,7.26 ,7.21 ,7.23 ,26296,19031436
5/11/2018 10:05,7.23 ,7.24 ,7.19 ,7.20 ,49375,35566848
5/11/2018 10:10,7.21 ,7.21 ,7.19 ,7.21 ,34340,24726916
5/11/2018 10:15,7.21 ,7.22 ,7.20 ,7.22 ,22790,16433087
5/11/2018 10:20,7.21 ,7.22 ,7.20 ,7.21 ,27883,20094646
5/11/2018 10:25,7.20 ,7.21 ,7.20 ,7.20 ,17732,12773203
5/11/2018 10:30,7.20 ,7.22 ,7.19 ,7.21 ,22177,15990800
5/11/2018 10:35,7.21 ,7.24 ,7.21 ,7.24 ,17844,12900155
5/11/2018 10:40,7.23 ,7.25 ,7.22 ,7.23 ,13159,9519852
5/11/2018 10:45,7.24 ,7.24 ,7.22 ,7.23 ,14112,10200982
5/11/2018 10:50,7.22 ,7.24 ,7.21 ,7.22 ,9538,6895183
5/11/2018 10:55,7.21 ,7.23 ,7.21 ,7.22 ,9881,7135666
5/11/2018 11:00,7.23 ,7.23 ,7.21 ,7.22 ,17319,12502856
5/11/2018 11:05,7.22 ,7.23 ,7.22 ,7.23 ,7627,5511185
5/11/2018 11:10,7.23 ,7.23 ,7.21 ,7.22 ,9557,6902847
5/11/2018 11:15,7.23 ,7.24 ,7.21 ,7.23 ,5717,4130871
5/11/2018 11:20,7.22 ,7.23 ,7.21 ,7.22 ,12410,8962483
5/11/2018 11:25,7.23 ,7.24 ,7.21 ,7.24 ,7029,5080308
5/11/2018 11:30,7.24 ,7.25 ,7.23 ,7.25 ,5311,3843923
