??,?,?,?,?,?,?
4/25/2018 9:35,19.11 ,19.19 ,19.07 ,19.09 ,85238,163031120
4/25/2018 9:40,19.08 ,19.16 ,19.08 ,19.10 ,36200,69217552
4/25/2018 9:45,19.11 ,19.19 ,19.08 ,19.09 ,44404,84963552
4/25/2018 9:50,19.10 ,19.12 ,19.08 ,19.12 ,26252,50145760
4/25/2018 9:55,19.11 ,19.15 ,19.08 ,19.08 ,24640,47093788
4/25/2018 10:00,19.09 ,19.11 ,19.06 ,19.08 ,24471,46684648
4/25/2018 10:05,19.09 ,19.10 ,19.03 ,19.05 ,32495,61929456
4/25/2018 10:10,19.05 ,19.08 ,19.01 ,19.06 ,39544,75260048
4/25/2018 10:15,19.07 ,19.10 ,19.03 ,19.05 ,17862,34042272
4/25/2018 10:20,19.05 ,19.10 ,19.04 ,19.08 ,16352,31164800
4/25/2018 10:25,19.09 ,19.10 ,19.02 ,19.04 ,18326,34924080
4/25/2018 10:30,19.05 ,19.07 ,19.03 ,19.06 ,10056,19156048
4/25/2018 10:35,19.07 ,19.12 ,19.05 ,19.11 ,13906,26555712
4/25/2018 10:40,19.11 ,19.14 ,19.07 ,19.08 ,12907,24667760
4/25/2018 10:45,19.07 ,19.10 ,19.03 ,19.07 ,15470,29473808
4/25/2018 10:50,19.08 ,19.08 ,19.02 ,19.03 ,12341,23505776
4/25/2018 10:55,19.03 ,19.07 ,19.03 ,19.05 ,11575,22045248
4/25/2018 11:00,19.05 ,19.06 ,18.97 ,18.99 ,51314,97502432
4/25/2018 11:05,19.00 ,19.13 ,18.99 ,19.08 ,38220,72898064
4/25/2018 11:10,19.08 ,19.10 ,19.06 ,19.10 ,8587,16383424
4/25/2018 11:15,19.09 ,19.11 ,19.08 ,19.08 ,5481,10464352
4/25/2018 11:20,19.08 ,19.11 ,19.08 ,19.09 ,7108,13573520
4/25/2018 11:25,19.08 ,19.11 ,19.07 ,19.11 ,7156,13662704
4/25/2018 11:30,19.11 ,19.11 ,19.09 ,19.11 ,5686,10858512
4/25/2018 13:05,19.10 ,19.14 ,19.09 ,19.12 ,10232,19558256
